root,0,-Infinity
A1,1,Infinity
B1,2,-99
A1,1,-99
E1,2,-73
A1,1,-99
A2,2,-63
A1,1,-99
B2,2,-55
A1,1,-99
A3,2,-71
A1,1,-99
C3,2,-74
A1,1,-99
E3,2,-46
A1,1,-99
A4,2,-63
A1,1,-99
B4,2,-75
A1,1,-99
E4,2,-45
A1,1,-99
A5,2,-68
A1,1,-99
B5,2,-73
A1,1,-99
C5,2,-66
A1,1,-99
D5,2,-64
A1,1,-99
E5,2,-53
A1,1,-99
root,0,-99
B1,1,Infinity
A1,2,-67
B1,1,-67
E1,2,-77
B1,1,-77
A2,2,-67
B1,1,-77
B2,2,-91
B1,1,-91
A3,2,-75
B1,1,-91
C3,2,-78
B1,1,-91
E3,2,-50
B1,1,-91
A4,2,-67
B1,1,-91
B4,2,-79
B1,1,-91
E4,2,-49
B1,1,-91
A5,2,-72
B1,1,-91
B5,2,-77
B1,1,-91
C5,2,-70
B1,1,-91
D5,2,-68
B1,1,-91
E5,2,-57
B1,1,-91
root,0,-91
E1,1,Infinity
A1,2,-53
E1,1,-53
B1,2,-49
E1,1,-53
A2,2,-53
E1,1,-53
B2,2,-45
E1,1,-53
A3,2,-61
E1,1,-61
C3,2,-64
E1,1,-64
E3,2,-36
E1,1,-64
A4,2,-53
E1,1,-64
B4,2,-65
E1,1,-65
E4,2,-35
E1,1,-65
A5,2,-58
E1,1,-65
B5,2,-63
E1,1,-65
C5,2,-56
E1,1,-65
D5,2,-54
E1,1,-65
E5,2,-43
E1,1,-65
root,0,-65
A2,1,Infinity
A1,2,-63
A2,1,-63
B1,2,-59
A2,1,-63
E1,2,-73
A2,1,-73
B2,2,-95
A2,1,-95
A3,2,-111
A2,1,-111
C3,2,-74
A2,1,-111
E3,2,-46
A2,1,-111
A4,2,-63
A2,1,-111
B4,2,-75
A2,1,-111
E4,2,-45
A2,1,-111
A5,2,-68
A2,1,-111
B5,2,-73
A2,1,-111
C5,2,-66
A2,1,-111
D5,2,-64
A2,1,-111
E5,2,-53
A2,1,-111
root,0,-65
B2,1,Infinity
A1,2,-71
B2,1,-71
B1,2,-91
B2,1,-91
E1,2,-81
B2,1,-91
A2,2,-71
B2,1,-91
A3,2,-79
B2,1,-91
C3,2,-82
B2,1,-91
E3,2,-54
B2,1,-91
A4,2,-71
B2,1,-91
B4,2,-83
B2,1,-91
E4,2,-53
B2,1,-91
A5,2,-76
B2,1,-91
B5,2,-81
B2,1,-91
C5,2,-74
B2,1,-91
D5,2,-72
B2,1,-91
E5,2,-61
B2,1,-91
root,0,-65
A3,1,Infinity
A1,2,-55
A3,1,-55
B1,2,-51
A3,1,-55
E1,2,-65
A3,1,-65
A2,2,-55
A3,1,-65
B2,2,-47
A3,1,-65
C3,2,-66
A3,1,-66
E3,2,-38
A3,1,-66
A4,2,-55
A3,1,-66
B4,2,-67
A3,1,-67
E4,2,-37
A3,1,-67
A5,2,-60
A3,1,-67
B5,2,-65
A3,1,-67
C5,2,-58
A3,1,-67
D5,2,-56
A3,1,-67
E5,2,-45
A3,1,-67
root,0,-65
C3,1,Infinity
A1,2,26
C3,1,26
B1,2,30
C3,1,26
E1,2,16
C3,1,16
A2,2,26
C3,1,16
B2,2,34
C3,1,16
A3,2,18
C3,1,16
E3,2,43
C3,1,16
A4,2,26
C3,1,16
B4,2,34
C3,1,16
E4,2,44
C3,1,16
A5,2,21
C3,1,16
B5,2,16
C3,1,16
C5,2,23
C3,1,16
D5,2,25
C3,1,16
E5,2,36
C3,1,16
root,0,16
E3,1,Infinity
A1,2,-66
E3,1,-66
B1,2,-62
E3,1,-66
E1,2,-92
E3,1,-92
A2,2,-66
E3,1,-92
B2,2,-58
E3,1,-92
A3,2,-74
E3,1,-92
C3,2,-77
E3,1,-92
A4,2,-66
E3,1,-92
B4,2,-78
E3,1,-92
E4,2,-48
E3,1,-92
A5,2,-71
E3,1,-92
B5,2,-76
E3,1,-92
C5,2,-69
E3,1,-92
D5,2,-67
E3,1,-92
E5,2,-56
E3,1,-92
root,0,16
A4,1,Infinity
A1,2,-63
A4,1,-63
B1,2,-59
A4,1,-63
E1,2,-73
A4,1,-73
A2,2,-63
A4,1,-73
B2,2,-55
A4,1,-73
A3,2,-111
A4,1,-111
C3,2,-74
A4,1,-111
E3,2,-46
A4,1,-111
B4,2,-115
A4,1,-115
E4,2,-45
A4,1,-115
A5,2,-68
A4,1,-115
B5,2,-73
A4,1,-115
C5,2,-66
A4,1,-115
D5,2,-64
A4,1,-115
E5,2,-53
A4,1,-115
root,0,16
B4,1,Infinity
A1,2,25
B4,1,25
B1,2,29
B4,1,25
E1,2,15
B4,1,15
A2,2,25
B4,1,15
B2,2,-63
B4,1,-63
A3,2,17
B4,1,-63
C3,2,-82
B4,1,-82
E3,2,42
B4,1,-82
A4,2,25
B4,1,-82
E4,2,43
B4,1,-82
A5,2,20
B4,1,-82
B5,2,15
B4,1,-82
C5,2,22
B4,1,-82
D5,2,24
B4,1,-82
E5,2,35
B4,1,-82
root,0,16
E4,1,Infinity
A1,2,-81
E4,1,-81
B1,2,-77
E4,1,-81
E1,2,-91
E4,1,-91
A2,2,-81
E4,1,-91
B2,2,-73
E4,1,-91
A3,2,-89
E4,1,-91
C3,2,-92
E4,1,-92
E3,2,-68
E4,1,-92
A4,2,-81
E4,1,-92
B4,2,-93
E4,1,-93
A5,2,-86
E4,1,-93
B5,2,-91
E4,1,-93
C5,2,-84
E4,1,-93
D5,2,-82
E4,1,-93
E5,2,-71
E4,1,-93
root,0,16
A5,1,Infinity
A1,2,-58
A5,1,-58
B1,2,-54
A5,1,-58
E1,2,-68
A5,1,-68
A2,2,-58
A5,1,-68
B2,2,-50
A5,1,-68
A3,2,-66
A5,1,-68
C3,2,-69
A5,1,-69
E3,2,-41
A5,1,-69
A4,2,-58
A5,1,-69
B4,2,-70
A5,1,-70
E4,2,-40
A5,1,-70
B5,2,-68
A5,1,-70
C5,2,-61
A5,1,-70
D5,2,-59
A5,1,-70
E5,2,-48
A5,1,-70
root,0,16
B5,1,Infinity
A1,2,-53
B5,1,-53
B1,2,-49
B5,1,-53
E1,2,-63
B5,1,-63
A2,2,-53
B5,1,-63
B2,2,-45
B5,1,-63
A3,2,-61
B5,1,-63
C3,2,-64
B5,1,-64
E3,2,-36
B5,1,-64
A4,2,-53
B5,1,-64
B4,2,-125
B5,1,-125
E4,2,-35
B5,1,-125
A5,2,-58
B5,1,-125
C5,2,-56
B5,1,-125
D5,2,-54
B5,1,-125
E5,2,-43
B5,1,-125
root,0,16
C5,1,Infinity
A1,2,-60
C5,1,-60
B1,2,-56
C5,1,-60
E1,2,-70
C5,1,-70
A2,2,-60
C5,1,-70
B2,2,-52
C5,1,-70
A3,2,-68
C5,1,-70
C3,2,-71
C5,1,-71
E3,2,-43
C5,1,-71
A4,2,-60
C5,1,-71
B4,2,-72
C5,1,-72
E4,2,-42
C5,1,-72
A5,2,-65
C5,1,-72
B5,2,-70
C5,1,-72
D5,2,-61
C5,1,-72
E5,2,-50
C5,1,-72
root,0,16
D5,1,Infinity
A1,2,-62
D5,1,-62
B1,2,-58
D5,1,-62
E1,2,-72
D5,1,-72
A2,2,-62
D5,1,-72
B2,2,-54
D5,1,-72
A3,2,-70
D5,1,-72
C3,2,-73
D5,1,-73
E3,2,-45
D5,1,-73
A4,2,-62
D5,1,-73
B4,2,-74
D5,1,-74
E4,2,-44
D5,1,-74
A5,2,-67
D5,1,-74
B5,2,-72
D5,1,-74
C5,2,-65
D5,1,-74
E5,2,-52
D5,1,-74
root,0,16
E5,1,Infinity
A1,2,-73
E5,1,-73
B1,2,-69
E5,1,-73
E1,2,-83
E5,1,-83
A2,2,-73
E5,1,-83
B2,2,-65
E5,1,-83
A3,2,-81
E5,1,-83
C3,2,-84
E5,1,-84
E3,2,-56
E5,1,-84
A4,2,-73
E5,1,-84
B4,2,-85
E5,1,-85
E4,2,-55
E5,1,-85
A5,2,-78
E5,1,-85
B5,2,-83
E5,1,-85
C5,2,-76
E5,1,-85
D5,2,-74
E5,1,-85
root,0,16
root,0,-Infinity
A1,1,Infinity
B1,2,-20
A1,1,-20
A2,2,16
A1,1,-20
B2,2,24
A1,1,-20
A3,2,8
A1,1,-20
E3,2,33
A1,1,-20
A4,2,16
A1,1,-20
B4,2,24
A1,1,-20
E4,2,34
A1,1,-20
A5,2,11
A1,1,-20
B5,2,6
A1,1,-20
C5,2,13
A1,1,-20
D5,2,15
A1,1,-20
E5,2,26
A1,1,-20
root,0,-20
B1,1,Infinity
A1,2,12
B1,1,12
A2,2,12
B1,1,12
B2,2,20
B1,1,12
A3,2,4
B1,1,4
E3,2,29
B1,1,4
A4,2,12
B1,1,4
B4,2,20
B1,1,4
E4,2,30
B1,1,4
A5,2,7
B1,1,4
B5,2,2
B1,1,2
C5,2,9
B1,1,2
D5,2,11
B1,1,2
E5,2,22
B1,1,2
root,0,2
A2,1,Infinity
A1,2,16
A2,1,16
B1,2,20
A2,1,16
B2,2,24
A2,1,16
A3,2,8
A2,1,8
E3,2,33
A2,1,8
A4,2,16
A2,1,8
B4,2,24
A2,1,8
E4,2,34
A2,1,8
A5,2,11
A2,1,8
B5,2,6
A2,1,6
C5,2,13
A2,1,6
D5,2,15
A2,1,6
E5,2,26
A2,1,6
root,0,6
B2,1,Infinity
A1,2,8
B2,1,8
B1,2,-12
B2,1,-12
A2,2,8
B2,1,-12
A3,2,0
B2,1,-12
E3,2,25
B2,1,-12
A4,2,8
B2,1,-12
B4,2,16
B2,1,-12
E4,2,26
B2,1,-12
A5,2,3
B2,1,-12
B5,2,-2
B2,1,-12
C5,2,5
B2,1,-12
D5,2,7
B2,1,-12
E5,2,18
B2,1,-12
root,0,6
A3,1,Infinity
A1,2,24
A3,1,24
B1,2,28
A3,1,24
A2,2,24
A3,1,24
B2,2,32
A3,1,24
E3,2,41
A3,1,24
A4,2,24
A3,1,24
B4,2,32
A3,1,24
E4,2,42
A3,1,24
A5,2,19
A3,1,19
B5,2,14
A3,1,14
C5,2,21
A3,1,14
D5,2,23
A3,1,14
E5,2,34
A3,1,14
root,0,14
E3,1,Infinity
A1,2,13
E3,1,13
B1,2,17
E3,1,13
A2,2,13
E3,1,13
B2,2,21
E3,1,13
A3,2,5
E3,1,5
A4,2,13
E3,1,5
B4,2,21
E3,1,5
E4,2,31
E3,1,5
A5,2,8
E3,1,5
B5,2,3
E3,1,3
C5,2,10
E3,1,3
D5,2,12
E3,1,3
E5,2,23
E3,1,3
root,0,14
A4,1,Infinity
A1,2,16
A4,1,16
B1,2,20
A4,1,16
A2,2,16
A4,1,16
B2,2,24
A4,1,16
A3,2,8
A4,1,8
E3,2,33
A4,1,8
B4,2,24
A4,1,8
E4,2,34
A4,1,8
A5,2,11
A4,1,8
B5,2,6
A4,1,6
C5,2,13
A4,1,6
D5,2,15
A4,1,6
E5,2,26
A4,1,6
root,0,14
B4,1,Infinity
A1,2,8
B4,1,8
B1,2,12
B4,1,8
A2,2,8
B4,1,8
B2,2,16
B4,1,8
A3,2,0
B4,1,0
E3,2,25
B4,1,0
A4,2,8
B4,1,0
E4,2,26
B4,1,0
A5,2,3
B4,1,0
B5,2,-2
B4,1,-2
C5,2,5
B4,1,-2
D5,2,7
B4,1,-2
E5,2,18
B4,1,-2
root,0,14
E4,1,Infinity
A1,2,-2
E4,1,-2
B1,2,2
E4,1,-2
A2,2,-2
E4,1,-2
B2,2,6
E4,1,-2
A3,2,-10
E4,1,-10
E3,2,11
E4,1,-10
A4,2,-2
E4,1,-10
B4,2,6
E4,1,-10
A5,2,-7
E4,1,-10
B5,2,-12
E4,1,-12
C5,2,-5
E4,1,-12
D5,2,-3
E4,1,-12
E5,2,8
E4,1,-12
root,0,14
A5,1,Infinity
A1,2,21
A5,1,21
B1,2,25
A5,1,21
A2,2,21
A5,1,21
B2,2,29
A5,1,21
A3,2,13
A5,1,13
E3,2,38
A5,1,13
A4,2,21
A5,1,13
B4,2,29
A5,1,13
E4,2,39
A5,1,13
B5,2,11
A5,1,11
C5,2,18
A5,1,11
D5,2,20
A5,1,11
E5,2,31
A5,1,11
root,0,14
B5,1,Infinity
A1,2,26
B5,1,26
B1,2,30
B5,1,26
A2,2,26
B5,1,26
B2,2,34
B5,1,26
A3,2,18
B5,1,18
E3,2,43
B5,1,18
A4,2,26
B5,1,18
B4,2,34
B5,1,18
E4,2,44
B5,1,18
A5,2,21
B5,1,18
C5,2,23
B5,1,18
D5,2,25
B5,1,18
E5,2,36
B5,1,18
root,0,18
C5,1,Infinity
A1,2,19
C5,1,19
B1,2,23
C5,1,19
A2,2,19
C5,1,19
B2,2,27
C5,1,19
A3,2,11
C5,1,11
E3,2,36
C5,1,11
A4,2,19
C5,1,11
B4,2,27
C5,1,11
E4,2,37
C5,1,11
A5,2,14
C5,1,11
B5,2,9
C5,1,9
D5,2,18
C5,1,9
E5,2,29
C5,1,9
root,0,18
D5,1,Infinity
A1,2,17
D5,1,17
B1,2,21
D5,1,17
A2,2,17
D5,1,17
B2,2,25
D5,1,17
A3,2,9
D5,1,9
E3,2,34
D5,1,9
A4,2,17
D5,1,9
B4,2,25
